score_d,comment_d,score_a,comment_a,channel,num_segments,dataset_name,dataset_id,station_id,outlier,label,median_score_clf_[0],median_score_clf_[1],median_score_clf_[2],median_score_clf_[3],median_score_clf_[4],median_score_clf_[5],median_score_clf_[6],median_score_clf_[7]
,,,,SJ.BEO..BH?,2984,me,2,1070,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SJ.DJES..BH?,2493,me,2,1071,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SL.BOJS..BH?,55,me,2,3727,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SL.MOZS..BH?,66,me,2,3728,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SL.PDKS..BH?,436,me,2,3729,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SL.VNDS..BH?,147,me,2,3730,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,SL.ZAVS..BH?,111,me,2,3731,False,unlabeled (Me unknown),0.794502340506,0.825394350151,0.835288809903,0.863072781884,0.858331493053,0.861994621773,0.833413929918,0.823181245054
,,,,MC.TRNT..BH?,650,me,2,2864,False,unlabeled (Me unknown),0.791283581765,0.812703809484,0.805585229946,0.801423615891,0.776582616605,0.751478179034,0.743979377847,0.723708077226
,,,,UD.LUBAR..BH?,58,me,2,3714,False,unlabeled (Me unknown),0.791283581765,0.822448286899,0.812045462026,0.811904709848,0.793469769795,0.783060093837,0.759984353555,0.733836751215
,,,,OE.CONA.51.BH?,5,me,2,623,False,unlabeled (Me unknown),0.787012178942,0.81951273897,0.835288809903,0.836896435165,0.832357310911,0.827233477374,0.811305598849,0.774887582727
,,,,SL.GOLS..BH?,469,me,2,649,False,unlabeled (Me unknown),0.787012178942,0.791670431925,0.777765780764,0.736902883034,0.718211910454,0.6789519471,0.670695804163,0.651011982661
,,,,CZ.CHVC..BH?,1096,me,2,712,False,unlabeled (Me unknown),0.787012178942,0.821468604409,0.837961717434,0.851521368418,0.859085403976,0.861299187308,0.865769245964,0.877528524267
,,,,CZ.CKRC..BH?,1128,me,2,713,False,unlabeled (Me unknown),0.787012178942,0.821468604409,0.837961717434,0.851521368418,0.859085403976,0.861299187308,0.865769245964,0.877528524267
,,,,CZ.DPC..BH?,3338,me,2,714,False,unlabeled (Me unknown),0.787012178942,0.821468604409,0.837961717434,0.851521368418,0.859085403976,0.861299187308,0.865769245964,0.877528524267
,,,,CZ.GOPC..BH?,1143,me,2,715,False,unlabeled (Me unknown),0.787012178942,0.821468604409,0.837961717434,0.851521368418,0.859085403976,0.861299187308,0.865769245964,0.877528524267
